Work Item Type,Title,State,Priority,Effort,Tags,Description,Iteration Path
User Story,HU-08: Construir pipeline base del Subagente 300 Monitor VIP,Closed,2,30,n8n;agentes;sprint01,"Como equipo comercial, quiero un agente automatizado que monitoree empresas en Google Sheets y detecte señales de inversión, para identificar oportunidades ORO sin revisión manual.",T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T01: Diseño de arquitectura workflow N8N (triggers + loop + Google Sheets),Closed,2,8,n8n;arquitectura,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T02: Configuración Loop Over Items1 (splitInBatches v3) + integración dual Tavily,Closed,2,8,n8n;tavily,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T03: Implementación AI Agent RADAR1 (GPT-4.1-mini) con 9 campos fijos de salida,Closed,2,8,n8n;openai;ia,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T04: Integración Pinecone (índice matec-radar namespace proyectos_2026),Closed,2,6,n8n;pinecone;vectorial,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
User Story,HU-09: Implementar routing por línea de negocio y escritura en Excel SharePoint,Closed,2,28,n8n;excel;sharepoint;sprint01,"Como equipo comercial, quiero que los resultados se organicen automáticamente por línea de negocio en archivos Excel de SharePoint, para consultar resultados segmentados sin cruzar datos.",T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T01: Implementar nodo Normalizar Linea (Code - normalización NFD lowercase),Closed,2,4,n8n;code,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T02: Configurar nodo Switch con 6 ramas por línea de negocio,Closed,2,6,n8n;switch,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T03: Configurar 6 nodos Microsoft Excel (v2.2 - autoMap - SharePoint),Closed,2,8,n8n;excel;sharepoint,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T04: Fix routing - reemplazar cadena IF nodes por Switch limpio,Closed,2,4,n8n;fix,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T05: Debug y validación escritura Excel (fix_sheets_automap - debug_sheets_node),Closed,2,6,n8n;debug;;excel,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
User Story,HU-10: Integración Tavily como fuente primaria de búsqueda,Closed,2,22,n8n;tavily;busqueda;sprint01,"Como sistema de radar, quiero buscar en fuentes especializadas (BNAmericas - SECOP - Aerocivil) además de búsqueda general, para mejorar la cobertura de señales por línea de negocio.",T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T01: Configurar nodo Buscar Fuentes Primarias1 con query especializado por línea,Closed,2,4,n8n;tavily;;fuentes,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T02: Fix Tavily API body (parámetros search_depth - max_results - include_domains),Closed,2,4,n8n;fix;tavily,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T03: Implementar nodo Fusionar Búsquedas1 (Merge) + Code JS5 normalización,Closed,2,6,n8n;merge;code,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T04: Análisis comparativo Serper vs Tavily - documentar decisión técnica,Closed,2,4,investigacion;tavily,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T05: Implementar Construir Query Tavily (Code) - empresa + palabras_clave + línea + país,Closed,2,4,n8n;code;tavily,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
User Story,HU-11: Estabilización y corrección iterativa del monolito (v4 a v9),Closed,1,60,n8n;fix;estabilizacion;sprint01,"Como developer, quiero identificar y corregir todos los bugs del workflow en producción, para alcanzar ejecuciones sin errores bloqueantes en el Sprint 01.",T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T01: Fix webhook body wrapping (raw.body || raw) - compatibilidad N8N v2,Closed,1,4,n8n;fix;webhook,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T02: Fix Code JS1 keywords - lectura palabras_clave por empresa desde GSheets,Closed,1,4,n8n;fix;code,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T03: Fix determinación sub-línea - reemplazar IF chain por Switch por sub-línea,Closed,1,6,n8n;fix;routing,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T04: Fix AI Auditor Validador - corrección LangChain SOP y silent output vacío,Closed,1,8,n8n;fix;ia;langchain,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T05: Fix Google Sheets - corrección Sheet ID incorrecto en Log Cliente1 (v9),Closed,1,4,n8n;fix;gsheets,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T06: Implementar rotación de empresas con filtro por fecha,Closed,1,10,n8n;rotacion;filtro,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T07: Fix data flow - corrección parámetro empresas en Code node,Closed,1,4,n8n;fix;code,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T08: Fix normalización de línea y re-conexión nodos desconectados (Formatear para Vector1),Closed,1,6,n8n;fix;conexiones,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T09: Fix headerRow en nodos Excel - first-row-as-header en lectura de fuentes,Closed,1,3,n8n;fix;excel,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T10: Actualización y activación Tavily API key v9,Closed,1,3,tavily;credenciales,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T11: Verificación final v9 - validación pipeline con 3 empresas test,Closed,1,4,n8n;testing;validacion,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T12: Escaneo completo línea Intralogística - ejecución batch y análisis resultados,Closed,1,4,n8n;testing;intralogistica,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
User Story,HU-12: Implementar sistema de alertas Gmail para señales ORO,Closed,2,8,n8n;gmail;alertas;sprint01,"Como Paola Vaquero (prospección comercial), quiero recibir un email automático cuando se detecte una señal de inversión tier ORO, para priorizar contacto inmediato sin revisar el sistema.",T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T01: Configurar nodo Gmail OAuth - plantilla alerta ORO con empresa/señal/score/fuente,Closed,2,4,n8n;gmail;alertas,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T02: Configurar IF Es Oportunidad ORO?1 y conexión al flujo de alertas,Closed,2,4,n8n;if;alertas,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
User Story,HU-13: Documentar arquitectura y flujo del workflow v9,Closed,3,18,documentacion;sprint01,"Como equipo de desarrollo, quiero documentación técnica completa del workflow de 67 nodos, para facilitar mantenimiento y onboarding.",T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T01: Redactar WORKFLOW_DOCUMENTATION.md - 8 grupos funcionales - 67 nodos,Closed,3,10,documentacion;;n8n,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T02: Documentar bugs conocidos y fixes aplicados (v3 a v9) - 10 issues,Closed,3,4,documentacion;bugs,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
Task,T03: Redactar guía de usuario (guia-usuario.md) - scan manual - resultados - tiers,Closed,3,4,documentacion;guia,,T154000 - Soluciones Internas Team\Sprint 01 - Subagente RADAR IA Matec
User Story,HU-14: Optimización de calidad de señales IA — Versión v10,Closed,1,50,n8n;ia;calidad;sprint02,"Como equipo comercial, quiero eliminar señales falsas donde la IA inventa menciones de empresas en artículos genéricos, para que el equipo confíe en cada señal ORO reportada.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Reemplazar AI Agent RADAR1 (LangChain) con HTTP Request directo a OpenAI,Closed,1,8,n8n;openai;fix;ia,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Implementar nodo Parse RADAR1 Output (Code - runOnceForEachItem - dual ruta A/B),Closed,1,4,n8n;code;;parse,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Crear RADAR_SYSTEM_CLEAN (6004 chars) - sin doble llave - con REGLA 5,Closed,1,6,n8n;prompt;ia,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T04: Implementar Filtro Menciones Empresa (Code - verificación snippets Tavily),Closed,1,8,n8n;code;filtro,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T05: Agregar IF Tiene Menciones - TRUE: AI RADAR1 / FALSE: Parse directo sin OpenAI,Closed,1,4,n8n;if;routing,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T06: Reemplazar AI Agent Segmentación Cualitativa con HTTP Request OpenAI (7 campos),Closed,1,8,n8n;ia;segmentacion,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T07: Fix Excel dataMode autoMap en CARTON Y PAPEL y CARGO LATAM (escribían 0 filas),Closed,1,3,n8n;fix;excel,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T08: Fix Logs_Fuentes - habilitar continueOnFail en 6 nodos,Closed,1,2,n8n;fix;;logs,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T09: Validación final v10 - ejecución Bimbo/Minerva/Smurfit - 0 URLs duplicadas,Closed,1,4,n8n;testing;validacion,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T10: Redactar CHANGELOG_v10.md - pipeline 73 nodos - tabla resultados exec 228355,Closed,1,3,documentacion,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
User Story,HU-15: Reestructurar monolito en arquitectura de 3 agentes independientes,Closed,1,50,n8n;arquitectura;agentes;sprint02,"Como equipo técnico, quiero separar el monolito de 75 nodos en 3 workflows N8N independientes conectados via webhook, para que un fallo en Tavily o Apollo no detenga toda la cadena.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Análisis y diseño arquitectura 3 agentes - contratos de datos y webhooks,Closed,1,6,arquitectura;diseño,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Crear WF01 Calificador - scoring 7 factores - tier ORO/MONITOREO/ARCHIVO,Closed,1,10,n8n;wf01;calificador,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Fix Excel nodes WF01 - 6 nodos Excel con dataMode autoMap,Closed,1,4,n8n;fix;excel;wf01,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T04: Agregar SharePoint a WF01 - integración Microsoft SharePoint por línea,Closed,1,4,n8n;sharepoint;wf01,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T05: Crear WF02 Radar - Tavily + AI RADAR1 + Segmentación + Excel + GSheets + Pinecone,Closed,1,10,n8n;wf02;radar,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T06: Crear WF03 Prospector - Apollo People Search - 5 contactos ORO / 2 MONITOREO,Closed,1,8,n8n;wf03;apollo;prospector,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T07: Fix WF03 - corrección GSheets node y parse input formato UPPERCASE y lowercase,Closed,1,4,n8n;fix;wf03,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T08: Documentar scoring-system.md - fórmulas WF01/WF02 - composite - ejemplos prod,Closed,3,4,documentacion;scoring,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
User Story,HU-16: Desarrollar Frontend — Dashboard y Layout principal (Next.js),Closed,2,30,frontend;dashboard;nextjs;sprint02,"Como usuario del Radar, quiero un dashboard web con métricas clave del sistema, para monitorear el estado del radar sin acceder directamente a N8N o Google Sheets.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Setup Next.js 15 App Router + TypeScript + Tailwind + shadcn/ui + Prisma + SQLite,Closed,2,6,frontend;setup;nextjs,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Implementar layout principal (layout.tsx - providers.tsx) - Navigation sidebar,Closed,2,4,frontend;layout,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Desarrollar página Dashboard (page.tsx) - KPIGrid - SystemStatus,Closed,2,6,frontend;dashboard;;kpi,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T04: Desarrollar charts (ScoreDistributionChart - SignalsByLineChart) con recharts,Closed,2,6,frontend;charts;recharts,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T05: Desarrollar componente RecentGoldSignals - tabla señales ORO recientes,Closed,2,4,frontend;componentes,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T06: Desarrollar componentes reutilizables (TierBadge - ScoreBadge - LineaBadge - PageHeader),Closed,2,4,frontend;componentes;;ui,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
User Story,HU-17: Desarrollar Frontend — Módulo Scan (Trigger Manual),Closed,2,23,frontend;scan;trigger;sprint02,"Como Paola Vaquero, quiero lanzar un scan manual de una o varias empresas desde el navegador, para obtener resultados en tiempo real sin acceso a N8N.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Implementar API route POST /api/trigger - llama webhook WF01 - registra ejecución,Closed,2,4,frontend;api;trigger,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Desarrollar página Scan (scan/page.tsx) - selector empresas - filtro línea/tier/país,Closed,2,6,frontend;scan;;ui,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Implementar PipelineStatus - progreso en tiempo real WF01→WF02→WF03,Closed,2,6,frontend;pipeline;polling,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T04: Implementar API routes GET /api/executions y /api/executions/[id],Closed,2,4,frontend;api;execuciones,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T05: Desarrollar componente ExecutionStatus - badge estado + timestamp + duración,Closed,2,3,frontend;componentes;;status,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
User Story,HU-18: Desarrollar Frontend — Módulo Results (Señales detectadas),Closed,2,22,frontend;results;señales;sprint02,"Como equipo comercial, quiero ver todas las señales de inversión detectadas con filtros por tier y línea de negocio, para priorizar qué empresas contactar esta semana.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Implementar API routes GET /api/signals y /api/signals/stats,Closed,2,4,frontend;api;signals,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Desarrollar página Results (results/page.tsx) - tabla paginada de señales,Closed,2,6,frontend;results;;tabla,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Implementar columnas tabla con acciones - filtro por tier - sort score - export CSV,Closed,2,4,frontend;filtros;tabla,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T04: Desarrollar SignalDetailSheet - panel lateral deslizable con detalle completo señal,Closed,2,6,frontend;componentes;detalle,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T05: Implementar loading y error states (loading.tsx - error.tsx) - skeletons UX,Closed,2,2,frontend;ux;estados,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
User Story,HU-19: Desarrollar Frontend — Módulo Empresas y Contactos,Closed,2,34,frontend;empresas;contactos;apollo;sprint02,"Como Paola Vaquero, quiero ver el directorio de 829 empresas con su calificación y acceder al perfil con contactos Apollo, para gestionar la prospección desde una sola pantalla.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Implementar API routes CRUD /api/companies (GET - POST) y /api/companies/import,Closed,2,6,frontend;api;companies,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Desarrollar página Empresas (empresas/page.tsx) - tabla filtrable - paginación,Closed,2,6,frontend;empresas;tabla,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Desarrollar página detalle empresa ([id]/page.tsx) - score breakdown 7 factores,Closed,2,6,frontend;empresas;detalle,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T04: Implementar script importación masiva (import_empresas.js) - GSheets→SQLite 829 emp,Closed,2,4,frontend;importacion;scripts,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T05: Implementar API routes /api/contacts + /api/contacts/sync + /api/prospect,Closed,2,6,frontend;api;contacts;apollo,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T06: Desarrollar página Contactos (contactos/page.tsx + columns.tsx) - tabla Apollo,Closed,2,6,frontend;contactos;tabla,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
User Story,HU-20: Desarrollar Frontend — Módulo Schedule y API de resultados,Closed,3,14,frontend;schedule;api;sprint02,"Como developer, quiero configurar ejecuciones programadas del radar y consultar resultados históricos via API, para automatizar el ciclo semanal sin intervención manual.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Implementar API route /api/schedule (GET estado - POST configurar) - N8N schedule,Closed,3,4,frontend;api;schedule,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Implementar API route /api/results - consolidación GSheets + SQLite para dashboard,Closed,3,4,frontend;api;results,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Desarrollar página Schedule (schedule/page.tsx) - toggle activar/desactivar - historial,Closed,3,6,frontend;schedule;ui,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
User Story,HU-21: Testing y calidad del Frontend,Closed,2,20,frontend;testing;playwright;vitest;sprint02,"Como developer, quiero cobertura de tests E2E - integración y unitarios en el frontend, para detectar regresiones al hacer cambios en el pipeline.",T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T01: Configurar Vitest + Playwright + setup.ts con mocks de DB y N8N,Closed,2,4,frontend;testing;config,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T02: Escribir tests unitarios (companyFilter - dateFilter - rotation - db-data),Closed,2,4,frontend;testing;unitarios,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
Task,T03: Escribir tests de integración (api-companies - db - schedule - trigger),Closed,2,6,frontend;testing;integracion,,T154000 - Soluciones Internas Team\Sprint 02 - Reestructuración + Frontend
